t=2025-12-15T11:28:15+0300 lvl=info msg="no configuration paths supplied"
t=2025-12-15T11:28:15+0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\Halil\\AppData\\Local/ngrok/ngrok.yml
t=2025-12-15T11:28:15+0300 lvl=info msg="open config file" path=C:\\Users\\Halil\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2025-12-15T13:46:34+0300 lvl=info msg="join connections" obj=join id=9e4394ad51ed l=[::1]:80 r=164.90.160.171:60762
t=2025-12-15T13:46:35+0300 lvl=info msg="join connections" obj=join id=f1b91d4e7909 l=[::1]:80 r=164.90.160.171:60772
t=2025-12-15T13:50:47+0300 lvl=info msg="join connections" obj=join id=18062d15ae1a l=[::1]:80 r=164.90.160.171:42614
t=2025-12-15T13:51:26+0300 lvl=info msg="join connections" obj=join id=943e4322c0f8 l=[::1]:80 r=164.90.160.171:60554
t=2025-12-15T13:51:31+0300 lvl=info msg="join connections" obj=join id=c9b435d1b5f1 l=[::1]:80 r=164.90.160.171:36384
t=2025-12-15T13:51:31+0300 lvl=info msg="join connections" obj=join id=823858b3acfa l=[::1]:80 r=164.90.160.171:36386
t=2025-12-15T13:53:47+0300 lvl=info msg="join connections" obj=join id=b9f4c7974002 l=[::1]:80 r=164.90.160.171:41448
t=2025-12-15T13:53:54+0300 lvl=info msg="join connections" obj=join id=56157cb02beb l=[::1]:80 r=164.90.160.171:43050
t=2025-12-15T13:53:55+0300 lvl=info msg="join connections" obj=join id=55706cc08263 l=[::1]:80 r=164.90.160.171:54348
t=2025-12-15T13:56:16+0300 lvl=info msg="join connections" obj=join id=4b9a50f9817a l=[::1]:80 r=164.90.160.171:56268
t=2025-12-15T13:56:23+0300 lvl=info msg="join connections" obj=join id=3849978131b4 l=[::1]:80 r=164.90.160.171:50422
t=2025-12-15T13:56:23+0300 lvl=info msg="join connections" obj=join id=024323b69035 l=[::1]:80 r=164.90.160.171:50426
t=2025-12-15T14:00:24+0300 lvl=info msg="join connections" obj=join id=02fe2c253d82 l=[::1]:80 r=164.90.160.171:45318
t=2025-12-15T14:00:31+0300 lvl=info msg="join connections" obj=join id=548f35f08c4b l=[::1]:80 r=164.90.160.171:34472
t=2025-12-15T14:00:31+0300 lvl=info msg="join connections" obj=join id=c503ec52ad56 l=[::1]:80 r=164.90.160.171:34482
t=2025-12-15T14:02:32+0300 lvl=info msg="join connections" obj=join id=e09e24aa4564 l=[::1]:80 r=164.90.160.171:53080
t=2025-12-15T14:02:38+0300 lvl=info msg="join connections" obj=join id=f3b64bb436f9 l=[::1]:80 r=164.90.160.171:47450
t=2025-12-15T14:02:39+0300 lvl=info msg="join connections" obj=join id=d1ad1669434b l=[::1]:80 r=164.90.160.171:53094
t=2025-12-15T14:07:55+0300 lvl=info msg="join connections" obj=join id=b6a620989dfb l=[::1]:80 r=164.90.160.171:59286
t=2025-12-15T14:08:02+0300 lvl=info msg="join connections" obj=join id=e84daf62d13c l=[::1]:80 r=164.90.160.171:38664
t=2025-12-15T14:08:02+0300 lvl=info msg="join connections" obj=join id=cf67f7f8408b l=[::1]:80 r=164.90.160.171:33584
t=2025-12-15T14:13:32+0300 lvl=info msg="join connections" obj=join id=9cfe1cc9d898 l=[::1]:80 r=164.90.160.171:38498
t=2025-12-15T14:13:37+0300 lvl=info msg="join connections" obj=join id=f5ba4f4c38f1 l=[::1]:80 r=164.90.160.171:57740
t=2025-12-15T14:13:38+0300 lvl=info msg="join connections" obj=join id=06c5ee30dde1 l=[::1]:80 r=164.90.160.171:57746
t=2025-12-15T14:16:11+0300 lvl=info msg="join connections" obj=join id=13b7266b3ffd l=[::1]:80 r=164.90.160.171:56344
t=2025-12-15T14:16:12+0300 lvl=info msg="join connections" obj=join id=244214744be3 l=[::1]:80 r=164.90.160.171:56348
t=2025-12-15T14:16:34+0300 lvl=info msg="join connections" obj=join id=f3358afb3fe8 l=[::1]:80 r=164.90.160.171:36238
t=2025-12-15T14:16:35+0300 lvl=info msg="join connections" obj=join id=f4e3fabb4c6a l=[::1]:80 r=164.90.160.171:36254
t=2025-12-15T14:16:36+0300 lvl=info msg="join connections" obj=join id=f9ee8ff28767 l=[::1]:80 r=164.90.160.171:35146
t=2025-12-15T14:18:52+0300 lvl=info msg="join connections" obj=join id=f73dd6038072 l=[::1]:80 r=164.90.160.171:35468
t=2025-12-15T14:18:59+0300 lvl=info msg="join connections" obj=join id=718320a72da4 l=[::1]:80 r=164.90.160.171:54670
t=2025-12-15T14:19:00+0300 lvl=info msg="join connections" obj=join id=90030b4d0fa5 l=[::1]:80 r=164.90.160.171:41928
t=2025-12-15T14:20:04+0300 lvl=info msg="join connections" obj=join id=526042edd39e l=[::1]:80 r=164.90.160.171:33406
t=2025-12-15T14:20:11+0300 lvl=info msg="join connections" obj=join id=bcc4c886e4b2 l=[::1]:80 r=164.90.160.171:60958
t=2025-12-15T14:20:12+0300 lvl=info msg="join connections" obj=join id=25598104f01a l=[::1]:80 r=164.90.160.171:57542
t=2025-12-15T14:21:35+0300 lvl=info msg="join connections" obj=join id=bf1cf28c1b43 l=[::1]:80 r=164.90.160.171:49462
t=2025-12-15T14:21:44+0300 lvl=info msg="join connections" obj=join id=fd18ef42a9eb l=[::1]:80 r=164.90.160.171:50382
t=2025-12-15T14:21:44+0300 lvl=info msg="join connections" obj=join id=8e4e192c79f5 l=[::1]:80 r=164.90.160.171:50394
t=2025-12-15T14:24:54+0300 lvl=info msg="join connections" obj=join id=47d3e1b329db l=[::1]:80 r=164.90.160.171:48282
t=2025-12-15T14:25:14+0300 lvl=info msg="join connections" obj=join id=4cf1b7e9ccc9 l=[::1]:80 r=164.90.160.171:44144
t=2025-12-15T14:25:15+0300 lvl=info msg="join connections" obj=join id=bf07a9c009a7 l=[::1]:80 r=164.90.160.171:44152
t=2025-12-15T14:25:18+0300 lvl=info msg="join connections" obj=join id=d00583803d10 l=[::1]:80 r=164.90.160.171:44166
t=2025-12-15T14:25:19+0300 lvl=info msg="join connections" obj=join id=8fcf839a9f83 l=[::1]:80 r=164.90.160.171:44180
t=2025-12-15T14:27:45+0300 lvl=info msg="join connections" obj=join id=1290f742d5bf l=[::1]:80 r=164.90.160.171:49044
t=2025-12-15T14:27:45+0300 lvl=info msg="join connections" obj=join id=faaea5d55f86 l=[::1]:80 r=164.90.160.171:40838
